State,Date of First Shutdown,Level of First Shutdown,Industry Closed in First Shutdown,Details of First Shutdown,Type of Order,Initial Expiration Date,Expiration Notes,Expiration Sources,Date of Start of First Opening,Industry First Opening,Level of First Opening,Details of First Opening,Opening Plan Type and Description,Gathering Limit Under Lockdown,Guideline or Requirement,Gathering Limit at Reopening,Gathering Limit 6/5,Governor Gender,Sources,Government Source,Notes/Links for re-opening plans,,
Hawaii,3/25/2020,Full,"Retail, personal care, entertainment, outdoor and recreation, houses of worship, entertainment",Everyone who was not considered essential was asked to work from home and stay home. People were ordered to only leave for essential traveling. Restaurants can offer take out. All personal care activities were suspended. Beaches and other outdoor recreation activities were not mentioned as essential but were also not explicitly prohibited. ,Executive Stay-at-Home Order,4/30/2020,Governor extended the order by one week. Surfing and swimming were considered essential and beaches were not closed. ,https://governor.hawaii.gov/newsroom/latest-news/office-of-the-governor-news-release-governor-ige-issues-statewide-order-to-stay-at-home-work-from-home-to-fight-covid-19/,5/7/2020,"Retail, outdoor recreation, personal care",Partial,"Hawaii's stay-at-home order is technically still in effect until May 31st, however, the governor allowed certain businesses to open. ","Three phase plan: 

Phase 1- stabilization: focus on stabilizing the number of COVID-19 cases. 

Phase 2- reopening and recovery: gradual, sequenced reopening of normal activities

Phase 3- building economic resiliency: building a resilient economy with strong business and job growth.",0,G,10,10,M,"https://www.bigislandvideonews.com/2020/05/05/video-first-phase-of-hawaii-reopening-begins-may-7/
https://health.hawaii.gov/news/corona-virus/hawaii-covid-19-daily-news-digest-april-20-2020/
https://governor.hawaii.gov/newsroom/latest-news/office-of-the-governor-news-release-governor-ige-issues-statewide-order-to-stay-at-home-work-from-home-to-fight-covid-19/
https://governor.hawaii.gov/wp-content/uploads/2020/03/2003162-ATG_Third-Supplementary-Proclamation-for-COVID-19-signed.pdf",TRUE,https://governor.hawaii.gov/wp-content/uploads/2020/05/Gov_Reopening-Presentation-Slide-Deck_18-May-2020.pdf,,Food and Drink
Idaho,3/25/2020,Full,"Retail, personal care, food and drink, entertainment, outdoor and recreation, houses of worship.","All residents were asked to stay home and activities outside of essential were prohibited. Non essential retail stores were asked to close. All houses of worship, entertainment venues, athletic facilities, and outdoor and recreation activities were suspended. ",Executive Stay-at-Home Order,4/15/2020,Order was only in effect for 21 days and was later extended. ,https://gov.idaho.gov/pressrelease/governor-little-issues-statewide-stay-home-order-signs-extreme-emergency-declaration/,5/1/2020,"Houses of worship, personal care",Partial,"Idaho was originally scheduled to open on April 15th, but the governor extended the order until April 30th. They are now in stage 2 of their reopening plan. ","Five stage plan to reopen the economy. Idaho has assumed they will be able move from each stage every two weeks. 

Initial stage: All residents are under self quaratine excluding essential activities and work

Stage 1: Daycares and houses of worship were allowed to open in this phase under strict guidelines. Gathering in public should be avoided. This phase took place from May 1-15th. 

Stage 2: Gathering in groups of less than 10 individuals is allowed. Restaurants dining rooms, recreation facilities, and close contact services can all open if they follow strict guidelines. 

Stage 3: Gatherings of 10-50 people are allowed to occur. Non-essential travel can begin. Bars can open but nightclubs and other large venues remain closed. 

Stage 4: Nightclubs and large venues can open under limited occupancy protocols. Gatherings over 50 individuals can occur. ",0,R,0,50,M,"https://rebound.idaho.gov/wp-content/uploads/2020/05/opening-up-guidlines_rev051420.pdf
https://rebound.idaho.gov/stages-of-reopening/
https://boisedev.com/news/2020/04/15/idaho-stay-at-home-order/",TRUE,,,Outdoor and Recreation
Illinois,3/21/2020,Full,"Retail, personal care, food and drink, outdoor and recreation, houses of worship, entertainment","Gatherings are limited to less than 10 people and individuals are asked to remain home. Most retail establishments were deemed nonessential. Outdoor activities, including walking, running, and biking were considered essential. State and National parks were not forced to close, but decided to close on their own five days before the Executive Order was released. ",Executive Stay-at-Home Order,4/7/2020,"After cases continued to surge, the Governor extended the stay at home order until May 1st. He tried to further extend the order to May 30th, but a judge ruled that the Governor could not do that, so stuff started opening May 1st. ","https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-pritzker-stay-at-home-order-20200320-nmwr6k7d4fb77kiux4hqxwow7y-htmlstory.html
",5/1/2020,"Retail, personal care, outdoor and recreation, food and drink",Partial,"Non essential retail stores were allowed to open for curbside pickup and online orders only. Pet grooming could begin. State parks reopened and limited fishing and boating was allowed. Beginning May 29th, some restaurants can open for outdoor dine in service. Retail stores can open under fewer restrictions and gyms under the same restrictions at the end of May.  ","The governor has created a five phase plan to reopen Illinois. Plan can be found here. 

Phase 1: Strict stay at home order in place. Only essential businesses are open. 

Phase 2: Non essential retail can open for curbside pickup. Residents can begin enjoying more outdoor activities such as golf and swimming. 

Phase 3: Gatherings of 10 people are allowed. Manufacturing and personal care services can open with capacity restrictions. 

Phase 4: Gatherings of 50 or fewer people are allowed. Restaurants and bars reopen. Schools and child care may resume. 

Phase 5: Everything is fully open with safety precautions in place. ",0,R,0,10,M,"https://www.chicagotribune.com/coronavirus/ct-coronavirus-what-is-shelter-in-place-20200320-rvyzf7h24ff5tfnvve5kz6g6b4-story.html
https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-32.aspx
https://www2.illinois.gov/dceo/smallbizassistance/pages/stay-at-home-order-guidance.aspx
https://www2.illinois.gov/IISNews/21288-Gov._Pritzker_Stay_at_Home_Order.pdf",TRUE,https://coronavirus.illinois.gov/sfc/servlet.shepherd/document/download/069t000000BadS0AAJ?operationContext=S1,,Houses of Worship
Indiana,3/23/2020,Full,"Retail, personal care, food and drink, entertainment, manufacturing, industrial operations, outdoor and recreation, government, houses of worship","Only essential travel was allowed under the original order. The initial stay at home order was set to expire on April 6th and was expanded to April 20th. A second expansion was applied to the stay at home order, keeping it in effect until May 1st. Several of their manufacturing and industrial entities were not deemed essential, forcing them to close. Many of the government services, including the state Bureau of Motor Vehicles and Executive Branch services, were suspended during the shutdown. ",Executive Stay-at-Home Order,4/6/2020,The order was extended once until 05/01/2020. Instructions on how the state would move forward weren't given by the Governor until after the order expired. ,"https://www.fox19.com/2020/04/20/more-than-new-coronavirus-cases-reported-indiana/
https://www.fox19.com/2020/03/25/stay-at-home-order-takes-effect-indiana/",5/4/2020,"Retail, government, personal services, food and drink, ",Partial,Public libraries are allowed to open. Restaurants and retail establishments are allowed to open at 50% capacity. The city of Indianapolis and Marion county are still under lockdown until May 15th. ,"Five stage reopening plan:

Stage 1- March 23- May 3: Everything was closed. This is when the lockdown began. No social gatherings were allowed. 

Stage 2- May 4- May 23: Houses of worship were allowed to begin holding services. Manufacturers that were previously shut down are allowed to open. Half of the state's Bureau for Motor Vehicle services are allowed to open along with Executive Branch services. Gatherings of less than 25 people are allowed. Essential travel restrictions are lifted. Personal services begin by appointment. Retail and commercial establishments can operate at 50% capacity. 

Stage 3- May 24- June 13: Retail stores ard malls can operate at 75% capacity. Athletic facilities can open with restrictions. Community pools may open. Day care facilities are encouraged to open. Groups of less than 100 individuals may take place. 

Stage 4- Beginning June 14: Office buildings open and retail can operate at full capacity. Restaurants can operate at 75% dine in capacity. Bars and nightclubs can operate at 50% capacity. Entertainment and tourist venues can open under restrictions. 

Stage 5- Beginning July 4: Gatherings of over 250 people may take place. Everything is open at full capacity. ",0,R,25,100,M,"https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage4.pdf
https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage3.pdf
https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf
https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage1.pdf
https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage5.pdf",TRUE,,,
Iowa,3/17/2020,Full,"Retail, personal care, food and drink, entertainment, outdoor and recreation, houses of worship.","Did not have a stay-at-home order but did have a proclamation of public emergency which seems to have the same power as a stay-at home order and is stricter in some ways. For instance, most other stay at home orders do not specfically address houses of worship, however, Iowa came out and said religious gatherings were not allowed. Casinos, theaters, personal care facilities, retail establishments, recreation facilities, and restaurants and bars were all ordered to close. ",State of Emergency Declaration,4/16/2020,"Although there was no stay at home order, the state of emergency declaration that closed many businesses and prohibited other activities was set to expire on Aprril 16th. ",https://governor.iowa.gov/press-release/gov-reynolds-issues-a-state-of-public-health-disaster-emergency,5/1/2020,"Food and drink, outdoor and recreation facilities, retail, personal care, entertainment",County-based,"Most establishments are allowed to open at 50% capacity. Bars, theaters, and large entertainment venues are still under lockdown. However, drive in theaters have opened and racetracks can operate without an audience. Campgrounds are allowed to open. All of these openings are contigent on adherence to social distancing guidelines. ",No official staged plan in place. The Governor is giving updates as they come. ,10,R,10,10,F,"https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.17.pdf
https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.05.13.pdf?utm_medium=email&utm_source=govdelivery
https://www.npr.org/2020/05/01/847413697/midwest-coronavirus-related-restrictions-by-state
https://www.desmoinesregister.com/story/news/health/2020/05/13/covid-19-pandemic-coronavirus-iowa-gov-kim-reynolds-open-reopen-data-cases-spike-map/3106764001/",TRUE,"https://governor.iowa.gov/press-release/gov-reynolds-signs-new-proclamation-continuing-the-state-public-health-emergency-0?fbclid=IwAR0NpWOiSYrYes_rfvRtrI9FyF_yPU4waNogA1ebec7xlUCEDWwPM-r__BY
https://governor.iowa.gov/press-release/gov-reynolds-signs-new-proclamation-continuing-the-state-public-health-emergency-4",,
Kansas,3/30/2020,Full,"Retail, personal care, food and drink, entertainment, outdoor and recreation","Gatherings of over 10 people were prohibitied. To determine if a business was essential, the Kansas government developed the Kansas Essential Functions Framework (KEFF). KEFF focused on four areas: connect, distribute, manage, and supply. Religious services were deemed essential under supply. ",Executive Stay-at-Home Order,4/19/2020,Order was extended to May 3rd. ,https://www.kake.com/story/42042660/kansas-statewide-stay-at-home-order-actually-only-lasts-until-may-1,5/4/2020,"Food and drink, retail",Partial,Restaurants can offer dine in and non essential retail establishments can reopen under restrictions. Groups of more than 10 individuals are still prohibited. ,Four phase plan to reopen. Dates are subject to change. Details can be found here. The state entered a modified version of phase two on May 22nd instead of May 18th. ,10,R,10,30,F,"https://governor.kansas.gov/wp-content/uploads/2020/03/EO20-16.pdf
https://www.kshb.com/news/coronavirus/ks-gov-kelly-to-let-stay-at-home-order-expire-may-3-offers-plan-to-reopen-economy
https://governor.kansas.gov/wp-content/uploads/2020/04/EO-20-24-Executed.pdf
https://covid.ks.gov/ad-astra-a-plan-to-reopen-kansas/",TRUE,,,
Kentucky,3/26/2020,Full,"Retail, personal care, food and drink, entertainment, outdoor and recreation, houses of worship","Any non life sustaining businesses were asked to close. This includes most retail establishments, all restaurants, bars, and night clubs, and all personal care services. All entertainment venues and houses of worship were not deemed essential. Kentucky made a specific comment on how the executive order did not infringe on the purchase or use of firearms. ",Executive Stay-at-Home Order,,Executive order was issued indefinitely. ,https://www.wtnh.com/news/health/coronavirus/when-each-states-stay-at-home-order-lifts/,5/11/2020,"Retail, houses of worship, manufacturing, personal care. ",Partial,"May 11 – Manufacturing, construction, vehicle and vessel dealerships, professional services (at 50% of pre-outbreak capacity), horse racing (without spectators), pet grooming and boarding
May 20 – Retail, houses of worship
May 25 – Social gatherings of no more than 10 people, barbers, salons, cosmetology businesses and similar services","The state has created 10 rules for businesses to reopen. The 10 rules are: continue telework where possible, phased return to work, on-site temperature/health checks, universal masks and any other necessary PPE, close common area, enforce social distancing, limit face-to-face meetings, sanitizer/hand wash stations, special accomodations, testing plan. 

Businesses must submit a plan to follow these ten rules for approval before they are allowed to open. ",0,R,0,10,M,"https://www.washingtonpost.com/health/2020/04/06/coronavirus-stay-at-home-by-state/#kentucky
https://governor.ky.gov/attachments/20200325_Executive-Order_2020-257_Healthy-at-Home.pdf
https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=105",TRUE,"https://governor.ky.gov/images/Healthy-at-Work_10-Rules.png
https://governor.ky.gov/covid19
https://govstatus.egov.com/ky-healthy-at-work",,
Louisiana,3/23/2020,Full,"Retail, personal care, food and drink, entertainment, ",All gatherings of more than 10 people were suspended indefinitely. Individual places of worship were deemed essential. Entertainment and amusement venues were ordered to close. Personal care services were marked as not essential. Malls were ordered to close. ,Executive Stay-at-Home Order,5/1/2020,The Governor had already announced a phased reopening on May 1st and had to push that back when cases continued to surge. ,https://www.theadvocate.com/baton_rouge/news/coronavirus/article_8c3f87c8-88b0-11ea-a367-2faccc4d6e0c.html,5/15/2020,"Retail, outdoor recreation, personal care, entertainment",Partial,"An array of businesses are allowed to open at 25% capacity. The types of businesses are: 
Restaurants, cafes and coffee shops
Shopping malls
Gyms and fitness centers
Barber and beauty shops,  and nail salons
Movie theaters
Racetracks (not open to spectators)
Museums, zoos, aquariums (no tactile exhibits)
Bars and breweries with LDH food permits

Casinos and poker establishments can open at 25% capacity on May 18th. ",Folllowing the phases recommended by the White House. ,10,R,10,50,M,"https://gov.louisiana.gov/home/
https://gov.louisiana.gov/assets/Proclamations/2020/JBE-33-2020.pdf
https://gov.louisiana.gov/news/PhaseOne
https://gov.louisiana.gov/assets/Proclamations/2020/58-JBE-2020.pdf
",TRUE,"https://www.nola.com/news/coronavirus/article_f9eaaebc-9bcd-11ea-a61d-ff8b9e1a496b.html
https://www.wwltv.com/article/news/health/coronavirus/will-louisiana-start-reopening-next-weekend/289-bc58cbb2-a5d2-4d74-8fc6-113ccf10e9f7
https://www.nola.com/news/coronavirus/article_f9eaaebc-9bcd-11ea-a61d-ff8b9e1a496b.html",,
Maine,4/2/2020,Full,"Retail, government, personal care, food and drink, outdoor and recreation, houses of worship","Large restrictions were placed on public transit. Stores have limited person capacity. Smaller stores can only have 5 patrons, and capacity levels increase up to 100 people based on store space. The only comments on what is essential relate to businesses. Most other states discuss what government operations are essential, but Maine does not mention anything along those lines. ",Executive Stay-at-Home Order,4/30/2020,Stay at home order was modified on April 26th and allowed the state to begin reopening on May 1st. ,"https://www.natlawreview.com/article/covid-19-maine-governor-janet-mills-issues-statewide-stay-home-order
https://www.maine.gov/governor/mills/news/governor-mills-extends-maines-stay-home-order-2020-04-30",5/1/2020,"personal care, retail, food and drink ",County-based,"Some personal care businesses to begin reopening statewide May 1, but is taking a regional approach for other reopenings. Retail stores and restaurants will be allowed to reopen in rural counties without community spread starting May 11 and May 18, respectively, but reopenings in more populous areas are not scheduled until June.",,0,G,10,50,F,"https://www.maine.gov/covid19/timeline
https://www.maine.gov/governor/mills/news/governor-mills-issues-stay-healthy-home-mandate-2020-03-31
https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/CORRECTED_An%20Order%20Regarding%20Further%20Restrictions%20on%20Public%20Contact%20and%20Movement%2C%20Schools%2C%20Vehicle%20Travel%20and%20Retail%20Business%20Operations.pdf
",TRUE,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/An%20Order%20to%20Further%20Implement%20the%20Restarting%20Plan.pdf,,
Maryland,3/30/2020,Full,"Retail, industries (manufacturing), personal care, food and drink, outdoor and recreation, houses of worship, entertainment","Gatherings of more than 10 individuals were prohibited. One of the strictest guidelines for businesses to close. According to the Executive Order, ""all businesses, organizations, establishments, and facilities that are not part of the critical infrastructure sectors identified by the U.S. Department of Homeland Security’s Cybersecurity and Infrastructure Security Agency"" were asked to close. They allowed retail to remain open for delivery services, restaurants could offer curbside and takeout options. Businesses were also allowed to perform tasks to keep property, fulfill managerial duties such as payroll, or taking care of live animals. Out of state travel was prohibited. Manufacturing facilities were forced to close which was not what other states did. ",Executive Stay-at-Home Order,,"Original order did not have a definitive expiration date. On May 13th, the Governor announced that the state could start reopening. ",https://www.wtnh.com/news/health/coronavirus/when-each-states-stay-at-home-order-lifts/,5/15/2020,"Retail, Industries (manufacturing), outdoor and recreation, houses of worship, personal care",Partial,"The Governor issued a statewide ""Healthy at Home"" order that eased many of the covid restrictions. Baltimore and the surrounding counties decided to stay shut down and open under their own plans. Houses of worship and retail stores were allowed to open to 50% capactiy. Manufacturing facilities were allowed to reopen. Barber shops and beauty salons could open for hair services only and at 50% capacity. Golf courses and driving ranges; outdoor archery and shooting ranges; marinas and watercraft rental businesses; campgrounds; and horse boarding and riding facilities were allowed to open to the public. Restaurants and bars were ordered to remain closed. Malls, fitness centers, theaters, and other entertainment venues were asked to remain closed. ","Three stage plan based on allowable activities. Each stage gives activity examples but notes that it is not an exhaustive list. 

Low Risk: This is the first recovery stage where low risk activities can resume and the stay at home order will be suspended. The types of activities that can resume are: small shops and certain small businesses; Curbside pickup and drop-off for businesses; Elective medical and dental procedures at ambulatory, outpatient, and medical offices; Limited attendance outdoor religious gatherings; Recreational boating, fishing, golf, tennis, hiking, and hunting; Car washes; Limited outdoor gym and fitness classes; Outdoor work with appropriate distancing measures; Some personal services

Medium Risk: Expected to be the longest stage of recovery. Most businesses will come back online during this stage. Examples of changes that could be implemented in this stage are: Raising the cap on social gatherings; Indoor gyms and fitness classes; Childcare centers; Transit schedules begin returning to normal; Indoor religious gatherings; Restaurants and bars with restrictions; Elective and outpatient procedures at hospitals

High Risk: This stage is long term goals. No timeline is projected on when they can reach this stage. Example of changes in this stage include: Larger social gatherings; High-capacity bars and restaurants; Lessened restrictions on visits to nursing homes and hospitals; Entertainment venues; Larger religious gatherings",10,R,10,10,M,"https://governor.maryland.gov/wp-content/uploads/2020/05/Gatherings-SIXTH-AMENDED-5.13.20.pdf
https://governor.maryland.gov/wp-content/uploads/2020/03/Gatherings-FOURTH-AMENDED-3.30.20.pdf
https://governor.maryland.gov/2020/03/30/as-covid-19-crisis-escalates-in-capital-region-governor-hogan-issues-stay-at-home-order-effective-tonight/
",TRUE,https://governor.maryland.gov/wp-content/uploads/2020/04/MD_Strong.pdf,,
Massachusetts,3/24/2020,Full,"Retail, industries (manufacturing), personal care, food and drink, outdoor and recreation, houses of worship, entertainment","Gatherings of more than 10 indidviduals were prohibited. Most retail establishments were asked to close. All outdoor and recreation activities were closed. People who work for houses of worship were deemed essential workers but most houses of worship had to close. Restaurants were only allowed to offer takeout or curbside pickup. All entertainment venues and personal care services were asked to close. There wasn't an order, but a deep urging for residents to stay home (there were still executive orders, just not order verbage). The order has been extended three times. ",Executive Stay-at-Home Order,5/4/2020,"The order was set to expire on May 4th, but the Governor extended that deadline by two weeks. ",https://patch.com/massachusetts/boston/massachusetts-stay-home-order-extended-2-weeks,5/18/2020,"Industries (manufacturing), outdoor and recreation, houses of worship, personal care",Partial,"In the first stage of reopening, there are still only gatherings of less than ten people. Manufacturing industries are allowed to begin operations. Essential businesses can continue to operate. Lodging is still restricted to essential workers. Construction, lab space, office space, and limited personal care services are allowed to resume. Retail can offer curbside pickup. ","Four staged approach to reopening the economy. Each stage is expected to last three weeks. 

Phase One- Start: Limited industries resume operations with severe restrictions

Phase Two- Cautious: Additional industries resume operations with restrictions and capacity limitations

Phase Three- VIgilant: Additional industries resume operations with guidance

Phase Four- New Normal: Development of vaccines or treatments allow people to begin a ""new normal"" ",10,R,10,10,M,"https://www.nbcboston.com/news/local/gov-baker-to-provide-an-update-on-coronavirus-in-mass-2/2123505/https://www.nbcboston.com/news/local/gov-baker-to-provide-an-update-on-coronavirus-in-mass-2/2123505/
https://www.mass.gov/news/safer-at-home-advisory",TRUE,"https://www.mass.gov/info-details/reopening-four-phase-approach
https://www.washingtonpost.com/local/maryland-stay-at-home-order-lifted-faq/2020/05/13/87986444-951f-11ea-82b4-c8db161ff6e5_story.html",,
Michigan,3/24/2020,Full,"Retail, Industries (manufacturing, construction, auto), personal care, food and drink, outdoor and recreation, houses of worship, entertainment","People were ordered to only leave their places of residence for essential activities. The governor has extended the stay at home order twice. The auto industry was asked to close which is a huge portion of Michigan's economy, so it will be interesting to see how that ulttimately iimpacts the economy. Any activities that are not necessary to sustain or protect life were prohibited. ",Executive Stay-at-Home Order,4/14/2020,The order was extended at least four times. ,"
https://www.clickondetroit.com/news/local/2020/06/02/michigan-stay-at-home-order-timeline-70-days-4-extensions-ever-changing-restrictions/",5/26/2020,"Industries (manufacturing, auto, construction), retail, food and drink, outdoor and recreation. ",County-based,"The initial stay-at-home order was set to expire on May 22nd, but was extended to June 12th. This extension will make Michigan one of the last states to lift stay at home restrictions. Although the directions are coming from the Governor of the state, most of the openings are taking place on a county basis. Manufacturing, auto, and retail throughout the state were given permission to open under strict guidelines. Restaurants and other businesses in certain counties will open on a regional basis beginning June 1st. A lot of the golf courses and marinas throughout the state were allowed to open. ","Six stage plan to reopen the economy: 

Stage One- Uncontrolled growth of COVID: There is an increasing number of new cases every day that could overwhelm the state’s health systems.

Stage Two- Persistent Spread: Michigan continues to see high case levels, with concern about health system capacity.

Stage Three- Flattening: The epidemic is no longer increasing and the health system’s capacity is sufficient for current needs.

Stage Four- Improving: Cases, hospitalizations and deaths are clearly declining.

Stage Five- Containing: Case and death rates continue to decline, with outbreaks quickly contained

Stage Six- Post-Pandemic: Reaching this phase would mean that community spread is not expected to return because of sufficient community immunity and availability of treatment.

According to the Governor of Michigan, the state is currently in phase three of the reopening plan. ",0,R,10,10,F,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-525182--,00.html
https://www.mlive.com/public-interest/2020/05/retail-probably-included-in-next-wave-of-reopenings-in-michigan-gov-whitmer-says.html",TRUE,,,
Minnesota,3/27/2020,Full,"Industries (manufacturing, agriculture), retail, food and drink, personal care, outdoor and recreation, houses of worship, entertainment","SImilar to several other states, Minnesota used the sixteen critical industry sector as a guideline for what can stay open and what must close. The governor extended the stay at home order once, then allowed it to expire. Although the order was extended, the governor allowed a small number of sectors to begin opening on April 27th. ",Executive Stay-at-Home Order,4/11/2020,The order was set to expire on April 11th and was extended two weeks. Since that time it has been extended with fewer restrictions. ,https://www.mprnews.org/story/2020/03/25/minnesotas-covid19-stayathome-order-what-you-need-to-know,4/27/2020,"Industries (manufacturing, agriculture), retail",Partial,"Certain workers in agriculture, manufacturing, and industrial and office settings were allowed to begin returning to work beginning April 27th. Retail stores were allowed to open at 50% capacity beginning May 18th. The Executive Order officially expired on May 17th. ","Four phase plan to open up the economy:

Phase One: Gatherings of ten or fewer people are allowed. Retail can open at 50% capacity. Restaurants can allow for delivery and takeout. Drive in events for outdoor entertainment. Houses of worship can open at 25% capacity. 

Phase Two: Will begin phase two on June 1st. Campgrounds can open. Organized youth sports and youth programming can begin. School buildings can open for hybrid, summer learning. Personal services can begin under appointment only mandates. 

Phase Three: Gyms and athletic facilities are allowed to open. Restaurants can offer outdoor dining. Pools may be able to open under a phased system. Restaurants can offer indoor dining. 

Phase Four: Increased capacity in retail, pools, other facilities, and restaurants. ",0,R,10,10,M,"https://www.mprnews.org/story/2020/04/30/latest-on-covid19-in-mn
https://www.mprnews.org/story/2020/03/25/minnesotas-covid19-stayathome-order-what-you-need-to-know
https://wccoradio.radio.com/articles/feature-article/governor-tim-walz-coronavirus-minnesota-stay-at-home-order
",FALSE,https://mn.gov/covid19/for-minnesotans/stay-safe-mn/stay-safe-plan.jsp,,
Mississippi,4/3/2020,Full,"Retail, personal care, food and drink, outdoor and recreation, entertainment","They are also using the guidance from the department of Homeland Security, but have made some additions to what is essential. One of these additions is religious entities, as long as they adhere to CDC guidelines. The other is vendors that provide essential products or services. This leaves all retail, entertainment, and personal care facilties off the list and therefore they all had to close. Gatherings of more than 10 individuals were prohibited. ",Executive Stay-at-Home Order,4/18/2020,The original order was extended by one week. ,https://apnews.com/b801a4c31ffd239488aa7d2810c97e4c,4/27/2020,"Retail, food and drink",Partial,"Retail companies and restaurants were allowed to bring back some customers under several restrictions. Opening the rest of the economy was stalled after Mississippi saw a huge spike in cases, making it their worst day yet. ",,10,R,10,50,M,"https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1466.pdf
https://thehill.com/homenews/state-watch/490674-mississippi-governor-issues-stay-at-home-order
http://ci.ocean-springs.ms.us/blog/Executive-Order-1463-by-Governor-Reeves",TRUE,"https://msdh.ms.gov/msdhsite/_static/14,21866,420.html",,
Missouri,4/6/2020,Full,"Retail, industries, personal care, food and drink, outdoor and recreation, houses of worship. ","Missouri also used the guidance from Homeland Security. If a retail store could justify their operations as fitting under the 16 sectors, they could maintain operations at 25% capacity. Outdoor recreation was deemed essential. The order was originally set to expire on April 24th, but was extended to May 4th. ",Executive Stay-at-Home Order,4/24/2020,Order was extended once to May 3rd. ,https://themissouritimes.com/missouris-stay-at-home-order-extended-through-may/,5/4/2020,"Retail, food and drink, all industries, personal care, outdoor and recreation, houses of worship, entertainment. ",Full,All businesses are allowed to open as long as they keep occupancy at a level where social distancing takes place. ,Wasn't really a staged or phased plan. Everything opened at once and then occupancy will be phased in. ,10,G,NA,NA,M,"https://governor.mo.gov/priorities/stay-home-order
https://governor.mo.gov/press-releases/archive/governor-parson-extends-statewide-stay-home-missouri-order-through-may-3",TRUE,https://kmox.radio.com/articles/news/missouri-gov-parson-releases-plans-to-reopen-businesses,,
Montana,3/28/2020,Full,"Retail, industries, personal care, food and drink, outdoor and recreation, houses of worship, entertainment. ","Full stay at home order was issued. Residents were not allowed to leave their homes except to complete essential activities. All non essential businesses and operations were ordered to immediately cease all activities except for necessary, basic maintenance activities. All public and private gatherings were prohibited. Outdoor activities were deemed essential and thus allowable as long as social distancing was maintained. A lot of construction was shut down if it was not necessary in assisting the public health emergency. Restaurants were allowed to offer takeout options. The stay at home order was extended from April 10th to April 27th. ",Executive Stay-at-Home Order,4/10/2020,Order was extended through April 24th and businesses were allowed to begin reopening on April 27th. ,https://www.kbzk.com/news/montana-news/bullock-extends-stay-at-home-order-for-montana,4/27/2020,"Retail, food and drink, houses of worship",Partial,"Retail and other non essential businesses were allowed to open on April 27th if they could adhere to social distancing guidelines and limit occupancy levels. Houses of worship were allowed to begin services under the same restrictions. Restaurants, nightclubs, and bars could begin allowing indoor service at limited levels starting May 4th. ","Three stage plan:

Stage One: MAIN STREET AND RETAIL BUSINESSES, RESTAURANTS / BARS / BREWERIES / DISTILLERIES / CASINOS, GYMS / POOLS / HOT TUBS, and MOVIE THEATRES became operational with reduced capacity and strict physical distancing protocols. PLACES OF WORSHIP became operational with reduced capacity and strict physical distancing protocols between non-household members. OUTDOOR RECREATION encouraged with strict physical distancing between groups and frequent sanitation of open public facilities. SENIOR LIVING OR ASSISTED LIVING FACILITIES continue to prohibit visitors. Strict protocols regarding hygiene and protection are followed, including daily symptom screening of staff and preventing ill workers from working. ORGANIZED YOUTH ACTIVITES became operational with strict physical distancing protocols.

Stage Two: Gatherings up to 50 people are allowed. ALL BUSINESSES can remain operational and must adhere to physical distancing. RESTAURANTS / BARS / BREWERIES / DISTILLERIES / CASINOS, GYMS / POOLS / HOT TUBS, and MOVIE THEATRES remain in the same operational status as PHASE ONE, but with an increase in capacity from 50% to 75%. ORGANIZED YOUTH ACTIVITES remain operational and should avoid GATHERING in groups of more than 50 people in circumstances that do not readily allow for appropriate physical distancing. PLACES OF ASSEMBLY including live music venues and bowling alleys can become operational with reduced capacity and must adhere to physical distancing. Avoid GATHERING in groups of more than 50 people in circumstances that do not readily allow for appropriate physical distancing. Cancel gatherings of more than 50 people unless physical distancing can be maintained.

Stage Three: No limit on group size. Vulnerable populations can resume public interactions, but should practice physical distancing, and continue to take precautionary measures.
",0,R,10,50,M,"https://dphhs.mt.gov/aboutus/news/2020/phasedreopening
https://covid19.mt.gov/Portals/223/Documents/Stay%20at%20Home%20Directive.pdf?ver=2020-03-26-173332-177
",TRUE,"https://covid19.mt.gov/Portals/223/Documents/Reopening%20Montana%20Phase%202.pdf?ver=2020-05-20-142015-167
https://covid19.mt.gov/Portals/223/Documents/FAQ%20Phase%201%20Reopen%20MT%20-%20V1%20approved.pdf?ver=2020-04-29-075649-290",,
